mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__subsample,param_regressor__n_estimators,param_regressor__min_samples_split,param_regressor__min_samples_leaf,param_regressor__max_features,param_regressor__max_depth,param_regressor__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_val_mse
25.946788867314655,1.324149749432542,0.06035010019938151,0.007064248757018097,0.8,800,2,2,,4,0.05,"{'regressor__subsample': 0.8, 'regressor__n_estimators': 800, 'regressor__min_samples_split': 2, 'regressor__min_samples_leaf': 2, 'regressor__max_features': None, 'regressor__max_depth': 4, 'regressor__learning_rate': 0.05}",-9070138483.216667,-9570326766.342106,-10078811725.05713,-9573092324.87197,411793769.9356513,4,9573092324.87197
10.815520207087198,0.04051095207582098,0.023397366205851238,0.000816158170689995,1.0,400,5,4,,3,0.01,"{'regressor__subsample': 1.0, 'regressor__n_estimators': 400, 'regressor__min_samples_split': 5, 'regressor__min_samples_leaf': 4, 'regressor__max_features': None, 'regressor__max_depth': 3, 'regressor__learning_rate': 0.01}",-22406467403.48549,-26125438462.509987,-23290817037.48689,-23940907634.49412,1586326946.6923401,29,23940907634.49412
2.7752464612325034,0.11039035112225783,0.031019210815429688,0.0016433467493421332,1.0,400,20,2,sqrt,5,0.03,"{'regressor__subsample': 1.0, 'regressor__n_estimators': 400, 'regressor__min_samples_split': 20, 'regressor__min_samples_leaf': 2, 'regressor__max_features': 'sqrt', 'regressor__max_depth': 5, 'regressor__learning_rate': 0.03}",-9920304086.722975,-10839297201.688099,-10910960172.38087,-10556853820.26398,451058435.0875714,14,10556853820.26398
3.3414363066355386,0.11652494642287764,0.0343785285949707,0.0010924369647404189,1.0,600,10,8,sqrt,4,0.1,"{'regressor__subsample': 1.0, 'regressor__n_estimators': 600, 'regressor__min_samples_split': 10, 'regressor__min_samples_leaf': 8, 'regressor__max_features': 'sqrt', 'regressor__max_depth': 4, 'regressor__learning_rate': 0.1}",-9331196446.721416,-9690268160.584557,-10333999911.4759,-9785154839.593958,414854439.2281662,7,9785154839.593958
6.852235317230225,0.23163941127243645,0.020631949106852215,0.001736292850573476,0.8,200,10,4,,5,0.03,"{'regressor__subsample': 0.8, 'regressor__n_estimators': 200, 'regressor__min_samples_split': 10, 'regressor__min_samples_leaf': 4, 'regressor__max_features': None, 'regressor__max_depth': 5, 'regressor__learning_rate': 0.03}",-11287049243.015596,-12686690235.774157,-12716997794.655,-12230245757.814919,667055413.0797625,19,12230245757.814919
2.6345812479654946,0.10573737436702314,0.03165348370869955,0.0037576080976125057,0.6,800,5,8,sqrt,2,0.1,"{'regressor__subsample': 0.6, 'regressor__n_estimators': 800, 'regressor__min_samples_split': 5, 'regressor__min_samples_leaf': 8, 'regressor__max_features': 'sqrt', 'regressor__max_depth': 2, 'regressor__learning_rate': 0.1}",-10788810516.888863,-11257244203.322775,-12036506083.822447,-11360853601.344696,514611333.89207953,16,11360853601.344696
1.9544983704884846,0.1217360585918712,0.034774382909139,0.002024871333156654,0.8,400,2,1,log2,5,0.08,"{'regressor__subsample': 0.8, 'regressor__n_estimators': 400, 'regressor__min_samples_split': 2, 'regressor__min_samples_leaf': 1, 'regressor__max_features': 'log2', 'regressor__max_depth': 5, 'regressor__learning_rate': 0.08}",-9553980492.319036,-10061420441.173206,-10538606214.371798,-10051335715.95468,402035014.55638593,12,10051335715.95468
1.9241172472635906,0.06319825623249446,0.03220359484354655,0.0031358726338712407,0.8,400,10,8,log2,5,0.03,"{'regressor__subsample': 0.8, 'regressor__n_estimators': 400, 'regressor__min_samples_split': 10, 'regressor__min_samples_leaf': 8, 'regressor__max_features': 'log2', 'regressor__max_depth': 5, 'regressor__learning_rate': 0.03}",-10611242952.117044,-11855772417.521854,-11683058756.319242,-11383358041.986048,550502065.5087295,17,11383358041.986048
2.4560300509134927,0.07140578609436485,0.03350480397542318,0.0032491133706245854,0.8,800,5,1,log2,2,0.05,"{'regressor__subsample': 0.8, 'regressor__n_estimators': 800, 'regressor__min_samples_split': 5, 'regressor__min_samples_leaf': 1, 'regressor__max_features': 'log2', 'regressor__max_depth': 2, 'regressor__learning_rate': 0.05}",-12275338974.173784,-13482688008.992971,-13481886235.732605,-13079971072.966454,568960907.5708174,20,13079971072.966454
0.8084139823913574,0.026053537160136916,0.012070099512736002,0.0006364884931282253,0.8,200,20,8,sqrt,2,0.01,"{'regressor__subsample': 0.8, 'regressor__n_estimators': 200, 'regressor__min_samples_split': 20, 'regressor__min_samples_leaf': 8, 'regressor__max_features': 'sqrt', 'regressor__max_depth': 2, 'regressor__learning_rate': 0.01}",-79425428897.22403,-89655565005.92479,-75869480444.87001,-81650158116.00627,5843862703.943676,30,81650158116.00627
3.9497646490732827,0.1757768817813819,0.05122812589009603,0.0033623265151450877,1.0,800,5,2,log2,4,0.1,"{'regressor__subsample': 1.0, 'regressor__n_estimators': 800, 'regressor__min_samples_split': 5, 'regressor__min_samples_leaf': 2, 'regressor__max_features': 'log2', 'regressor__max_depth': 4, 'regressor__learning_rate': 0.1}",-9307541182.2195,-9906621913.406883,-10451079736.547798,-9888414277.391394,467025156.2216381,8,9888414277.391394
5.812326590220134,0.07079843667359251,0.014670054117838541,0.0001310848870576509,0.8,200,20,2,,4,0.03,"{'regressor__subsample': 0.8, 'regressor__n_estimators': 200, 'regressor__min_samples_split': 20, 'regressor__min_samples_leaf': 2, 'regressor__max_features': None, 'regressor__max_depth': 4, 'regressor__learning_rate': 0.03}",-13563819769.882713,-15300735514.615883,-14667511420.181376,-14510688901.55999,717711201.3596004,22,14510688901.55999
4.9390450318654375,0.17426354325655488,0.08314347267150879,0.005893254523108848,0.8,1000,20,1,log2,5,0.03,"{'regressor__subsample': 0.8, 'regressor__n_estimators': 1000, 'regressor__min_samples_split': 20, 'regressor__min_samples_leaf': 1, 'regressor__max_features': 'log2', 'regressor__max_depth': 5, 'regressor__learning_rate': 0.03}",-9030041675.499786,-9666954004.299831,-10068786718.574413,-9588594132.791344,427670448.0673151,5,9588594132.791344
16.74635887145996,0.3859491674190697,0.027398109436035156,0.0011171895210104917,1.0,800,20,2,,2,0.1,"{'regressor__subsample': 1.0, 'regressor__n_estimators': 800, 'regressor__min_samples_split': 20, 'regressor__min_samples_leaf': 2, 'regressor__max_features': None, 'regressor__max_depth': 2, 'regressor__learning_rate': 0.1}",-10305877282.29637,-10698760973.29942,-11439338760.44814,-10814659005.347975,469934744.39759177,15,10814659005.347975
3.2685901323954263,0.18745608047299314,0.04607637723286947,0.0064139631886049485,1.0,600,5,2,log2,5,0.08,"{'regressor__subsample': 1.0, 'regressor__n_estimators': 600, 'regressor__min_samples_split': 5, 'regressor__min_samples_leaf': 2, 'regressor__max_features': 'log2', 'regressor__max_depth': 5, 'regressor__learning_rate': 0.08}",-8997575731.429354,-9736438060.854946,-10105437379.655367,-9613150390.646555,460607747.16423976,6,9613150390.646555
5.4353829224904375,0.15346630243748996,0.05303009351094564,0.0028624713882563282,1.0,800,2,2,sqrt,5,0.08,"{'regressor__subsample': 1.0, 'regressor__n_estimators': 800, 'regressor__min_samples_split': 2, 'regressor__min_samples_leaf': 2, 'regressor__max_features': 'sqrt', 'regressor__max_depth': 5, 'regressor__learning_rate': 0.08}",-8776015915.437078,-9356592206.421562,-9772956262.06805,-9301854794.642231,408835461.5012382,2,9301854794.642231
5.0569080511728925,0.060062756195016824,0.06920138994852702,0.00297540798306288,0.6,1000,10,4,sqrt,5,0.05,"{'regressor__subsample': 0.6, 'regressor__n_estimators': 1000, 'regressor__min_samples_split': 10, 'regressor__min_samples_leaf': 4, 'regressor__max_features': 'sqrt', 'regressor__max_depth': 5, 'regressor__learning_rate': 0.05}",-8876131646.297785,-9397999857.245094,-9625953163.490053,-9300028222.344309,313854433.1851717,1,9300028222.344309
2.3838122685750327,0.1403562238921913,0.03065379460652669,0.002565582661904566,1.0,400,2,1,sqrt,4,0.01,"{'regressor__subsample': 1.0, 'regressor__n_estimators': 400, 'regressor__min_samples_split': 2, 'regressor__min_samples_leaf': 1, 'regressor__max_features': 'sqrt', 'regressor__max_depth': 4, 'regressor__learning_rate': 0.01}",-19031807621.952835,-22929344080.199852,-19926790815.50498,-20629314172.552555,1666903698.7259188,26,20629314172.552555
8.91508142153422,0.13876191763331402,0.027399063110351562,0.0031043769165967233,0.8,400,20,1,,3,0.01,"{'regressor__subsample': 0.8, 'regressor__n_estimators': 400, 'regressor__min_samples_split': 20, 'regressor__min_samples_leaf': 1, 'regressor__max_features': None, 'regressor__max_depth': 3, 'regressor__learning_rate': 0.01}",-22175084508.458614,-25798864737.562794,-23275540992.72151,-23749830079.580975,1516939548.487254,28,23749830079.580975
2.7584081490834556,0.12565012686173474,0.03484638532002767,0.002075132769898763,1.0,600,5,1,log2,4,0.08,"{'regressor__subsample': 1.0, 'regressor__n_estimators': 600, 'regressor__min_samples_split': 5, 'regressor__min_samples_leaf': 1, 'regressor__max_features': 'log2', 'regressor__max_depth': 4, 'regressor__learning_rate': 0.08}",-9543873892.935009,-10144974846.119722,-10556304853.905548,-10081717864.320093,415736452.5695987,13,10081717864.320093
10.383519887924194,0.2541551655813235,0.027140458424886067,0.0005765144748219476,0.6,400,2,4,,5,0.1,"{'regressor__subsample': 0.6, 'regressor__n_estimators': 400, 'regressor__min_samples_split': 2, 'regressor__min_samples_leaf': 4, 'regressor__max_features': None, 'regressor__max_depth': 5, 'regressor__learning_rate': 0.1}",-9009887901.473772,-9452386274.278217,-9931533950.069872,-9464602708.607286,376359571.57483363,3,9464602708.607286
1.7960864702860515,0.06924396738089737,0.021419763565063477,0.0023156688805859547,0.8,400,20,8,sqrt,3,0.05,"{'regressor__subsample': 0.8, 'regressor__n_estimators': 400, 'regressor__min_samples_split': 20, 'regressor__min_samples_leaf': 8, 'regressor__max_features': 'sqrt', 'regressor__max_depth': 3, 'regressor__learning_rate': 0.05}",-11432486195.793896,-12516123741.078514,-12283698236.114586,-12077436057.662333,465815161.54122794,18,12077436057.662333
2.0846985975901284,0.11442238852715761,0.035802205403645836,0.0012691439125575253,0.6,400,10,1,sqrt,5,0.01,"{'regressor__subsample': 0.6, 'regressor__n_estimators': 400, 'regressor__min_samples_split': 10, 'regressor__min_samples_leaf': 1, 'regressor__max_features': 'sqrt', 'regressor__max_depth': 5, 'regressor__learning_rate': 0.01}",-15029749155.811188,-17583562595.84302,-16372840495.540676,-16328717415.731628,1043056695.8865607,25,16328717415.731628
1.369761069615682,0.05725315746573316,0.03506779670715332,0.003807076217526592,0.8,200,10,1,sqrt,5,0.03,"{'regressor__subsample': 0.8, 'regressor__n_estimators': 200, 'regressor__min_samples_split': 10, 'regressor__min_samples_leaf': 1, 'regressor__max_features': 'sqrt', 'regressor__max_depth': 5, 'regressor__learning_rate': 0.03}",-12149473773.08408,-13810200637.8461,-13476588566.433487,-13145420992.454554,717289993.1347574,21,13145420992.454554
23.35655935605367,0.06305930670279387,0.039019107818603516,0.0010600376561431032,1.0,800,2,1,,5,0.03,"{'regressor__subsample': 1.0, 'regressor__n_estimators': 800, 'regressor__min_samples_split': 2, 'regressor__min_samples_leaf': 1, 'regressor__max_features': None, 'regressor__max_depth': 5, 'regressor__learning_rate': 0.03}",-9305431695.68573,-9959471555.832325,-10464859448.078598,-9909920899.865551,474629419.57190675,10,9909920899.865551
0.6819132169087728,0.0337801974904477,0.014917294184366861,0.0050982104922917115,0.6,200,2,8,log2,2,0.05,"{'regressor__subsample': 0.6, 'regressor__n_estimators': 200, 'regressor__min_samples_split': 2, 'regressor__min_samples_leaf': 8, 'regressor__max_features': 'log2', 'regressor__max_depth': 2, 'regressor__learning_rate': 0.05}",-21540737695.932888,-24779620086.878708,-22092564251.32673,-22804307344.712776,1414808222.3000593,27,22804307344.712776
4.915081977844238,0.23462475562929336,0.04646221796671549,0.0014034995271010003,1.0,1000,10,8,sqrt,3,0.01,"{'regressor__subsample': 1.0, 'regressor__n_estimators': 1000, 'regressor__min_samples_split': 10, 'regressor__min_samples_leaf': 8, 'regressor__max_features': 'sqrt', 'regressor__max_depth': 3, 'regressor__learning_rate': 0.01}",-14121364651.526255,-15902009417.340038,-15126386822.19475,-15049920297.020348,728953264.4411857,23,15049920297.020348
16.624358654022217,0.46426377195749463,0.03545069694519043,0.0016718779482578574,0.8,800,20,8,,4,0.03,"{'regressor__subsample': 0.8, 'regressor__n_estimators': 800, 'regressor__min_samples_split': 20, 'regressor__min_samples_leaf': 8, 'regressor__max_features': None, 'regressor__max_depth': 4, 'regressor__learning_rate': 0.03}",-9437518435.988903,-10208657347.165585,-10462214887.03767,-10036130223.397387,435755979.5151258,11,10036130223.397387
2.220308224360148,0.08087352616925525,0.029720385869344074,0.005320010652353835,0.8,800,5,1,log2,2,0.03,"{'regressor__subsample': 0.8, 'regressor__n_estimators': 800, 'regressor__min_samples_split': 5, 'regressor__min_samples_leaf': 1, 'regressor__max_features': 'log2', 'regressor__max_depth': 2, 'regressor__learning_rate': 0.03}",-14104735822.70878,-15801638097.337828,-15281998399.708551,-15062790773.251719,709886526.1589053,24,15062790773.251719
10.204249382019043,0.40895623479766285,0.027964035669962566,0.0007347022470843942,0.6,800,2,2,,3,0.1,"{'regressor__subsample': 0.6, 'regressor__n_estimators': 800, 'regressor__min_samples_split': 2, 'regressor__min_samples_leaf': 2, 'regressor__max_features': None, 'regressor__max_depth': 3, 'regressor__learning_rate': 0.1}",-9429956671.9857,-10020507717.906134,-10227468081.566885,-9892644157.152906,337903269.9155313,9,9892644157.152906
